Generation,Max,Avg
0,100,4.6
1,200,3.2
2,200,3.4
3,100,2.6
4,200,4.8
5,100,3.8
6,200,3.0
7,100,4.4
8,100,4.2
9,100,5.6
10,100,4.6
11,100,3.2
12,100,4.4
13,100,3.4
14,100,4.8
15,100,4.6
16,100,3.0
17,100,5.4
18,200,3.8
19,100,5.0
20,200,4.2
21,200,3.4
22,200,5.2
23,100,3.2
24,200,3.8
25,200,3.8
26,100,3.6
27,200,4.2
28,100,3.6
29,100,4.0
30,100,3.8
31,100,4.2
32,200,5.4
33,100,3.2
34,200,3.4
35,200,4.6
36,100,3.2
37,200,3.8
38,200,4.0
39,200,3.4
40,100,3.8
41,200,3.2
42,100,2.8
43,200,4.6
44,100,4.0
45,200,5.0
46,200,3.6
47,100,3.2
48,100,2.6
49,200,4.0
50,200,4.0
51,100,3.2
52,100,5.2
53,100,3.8
54,100,5.2
55,100,4.2
56,100,3.8
57,100,2.8
58,100,5.4
59,200,3.6
60,200,3.6
61,200,4.0
62,100,4.6
63,100,5.6
64,200,3.4
65,200,4.4
66,100,4.6
67,100,4.4
68,200,3.8
69,200,4.6
70,200,5.0
71,200,4.6
72,200,4.2
73,100,2.8
74,100,5.4
75,300,5.8
76,200,3.2
77,100,3.2
78,200,4.4
79,200,5.4
80,200,6.4
81,200,5.6
82,100,3.2
83,100,4.2
84,100,4.0
85,100,4.2
86,100,4.8
87,100,4.0
88,100,2.2
89,100,2.4
90,100,3.0
91,100,4.8
92,100,2.6
93,200,2.8
94,200,3.8
95,100,3.4
96,100,2.2
97,200,5.6
98,200,5.4
99,200,4.6
